'schluessel','lfdnr','baumnr','ortsteil','plz','strasse','hausnr','xkoord','ykoord','l_geogr','b_geogr','bsgroesse','baumartbot','baumartdt','buegel','buegelerf','bsmulch','bssplitt','bserw','bsfraesen','material','bemerk','status','id','version','pflanzp','spendenstatus','reserviert_bis'
'0213F133','133','47','Kreuzberg','10997','Köpenicker Straße','17','26943834','19820475',13.433147099999999341,52.505350200000002303,'4x1,20','Tilia europaea \'Pallida\'','Kaiserlinde','','nein','nein','','','','','',NULL,1586,0,2,'',NULL
'0213F134','134','49','Kreuzberg','10997','Köpenicker Straße','20','26909174','19844552',13.432635700000000512,52.505565799999999399,'4x1,20','Tilia europaea \'Pallida\'','Kaiserlinde','','nein','nein','','','','','',NULL,1587,0,2,'',NULL
'0213F135','135','','Kreuzberg','10997','Köpenicker Straße','183','27277520','19557650',13.438071400000000111,52.502996299999999508,'4x1,20','Tilia europaea \'Pallida\'','Kaiserlinde','','nein','nein','','','','','',NULL,1588,0,2,'',NULL
'0213F136','136','','Kreuzberg','10997','Köpenicker Straße','186','27334050','19509710',13.438905800000000568,52.502566799999996761,'4x1,20','Tilia europaea \'Pallida\'','Kaiserlinde','','nein','nein','','','','','',NULL,1589,0,2,'',NULL
'0213F137','137','135','Kreuzberg','10997','Köpenicker Straße','189','27413470','19444767',13.440077799999999186,52.501984999999997683,'4x1,20','Tilia europaea \'Pallida\'','Kaiserlinde','','nein','nein','','','','','',NULL,1590,0,2,'',NULL
'0213F138','138','136','Kreuzberg','10997','Köpenicker Straße','189','27421143','19436565',13.440191099999999835,52.501911499999998512,'4x1,20','Tilia europaea \'Pallida\'','Kaiserlinde','','nein','nein','','','','','',NULL,1591,0,2,'',NULL
'0213F139','139','64','Kreuzberg','10997','Köpenicker Straße','22-25','26713647','19981871',13.429750699999999597,52.506794999999996776,'4x1,20','Tilia europaea \'Pallida\'','Kaiserlinde','','nein','nein','','','','','',NULL,1592,0,2,'',NULL
'0213F140','140','83','Kreuzberg','10997','Köpenicker Straße','','26798049','19903290',13.430996800000000846,52.506090899999996680,'4x1,20','Tilia europaea \'Pallida\'','Kaiserlinde','','nein','nein','','','','','',NULL,1593,0,2,'',NULL
'0213F141','141','130','Kreuzberg','10997','Köpenicker Straße','','27334624','19510119',13.438914199999999255,52.502570499999997367,'4x1,20','Tilia europaea \'Pallida\'','Kaiserlinde','','nein','nein','','','','','',NULL,1594,0,2,'',NULL
'0213F142','142','6','Kreuzberg','10967','Körtestraße','10','25444261','18244117',13.411132099999999667,52.491146100000001695,'3x2','Tilia europaea \'Pallida\'','Kaiserlinde','','nein','nein','','','','','',NULL,1595,0,2,'',NULL
'0213F143','143','49','Kreuzberg','10967','Körtestraße','17','25375205','18168975',13.410118699999999947,52.490468900000003316,'2x2','Sorbus intermedia \'Brouwers\'','Schwedische Mehlbeere','','nein','nein','','','','','',NULL,1596,0,2,'',NULL
'0213F145','145','38','Kreuzberg','10967','Körtestraße','35','25252266','18065011',13.408313500000000218,52.489531300000003000,'3x2','Sorbus intermedia \'Brouwers\'','Schwedische Mehlbeere','','nein','nein','','','','','',NULL,1598,0,2,'',NULL
'0213F146','146','34','Kreuzberg','10967','Körtestraße','38','25226551','18074637',13.407934499999999645,52.489617099999996697,'2x2','Prunus padus \'Tiefurt\'','Traubenkirsche','','nein','nein','','','','','',NULL,1599,0,2,'',NULL
'0213F147','147','32','Kreuzberg','10967','Körtestraße','38','25219053','18068810',13.407824299999999695,52.489564600000001349,'3x2','Prunus padus \'Tiefurt\'','Traubenkirsche','','nein','nein','','','','','',NULL,1600,0,2,'',NULL
'0213F148','148','13','Kreuzberg','10999','Lausitzer Straße','18','26562397','18801908',13.427571000000000367,52.496187499999997783,'','Liquidambar styraciflua \'Paarl\'','Amberbaum','','nein','nein','','','','','',NULL,1601,0,2,'',NULL
'0213F149','149','36','Kreuzberg','10999','Lausitzer Straße','50','26732916','19063623',13.430071299999999823,52.498543599999997866,'','Liquidambar styraciflua \'Paarl\'','Amberbaum','','nein','nein','','','','','',NULL,1602,0,2,'',NULL
'0213F150','150','2','Kreuzberg','10999','Lausitzer Straße',' 2-4','26737943','19089552',13.430144200000000865,52.498776800000001685,'','Liquidambar styraciflua \'Paarl\'','Amberbaum','','nein','nein','','','','','',NULL,1603,0,2,'',NULL
'0213F151','151','1','Kreuzberg','10999','Liegnitzer Straße','1','27170418','18728615',13.436526399999999981,52.495543599999997753,'2x2','Tilia europaea \'Pallida\'','Kaiserlinde','','nein','nein','','','','','',NULL,1604,0,2,'',NULL
'0213F152','152','5','Kreuzberg','10999','Liegnitzer Straße','5','27136551','18673317',13.436029899999999415,52.495045799999999758,'2x2','Gleditsia triacanthos \'Skyline\'','Dornenlose Gleditschie','','nein','nein','','','','','',NULL,1605,0,2,'',NULL
'0213F153','153','47','Kreuzberg','10999','Liegnitzer Straße','25','27113974','18609694',13.435699899999999474,52.494473499999998012,'2x2','Tilia europaea \'Pallida\'','Kaiserlinde','','nein','nein','','','','','',NULL,1606,0,2,'',NULL
'0213F158','158','23','Kreuzberg','10997','Muskauer Straße','16','26687930','19485130',13.429391900000000604,52.502330399999998178,'2x2','Liquidambar styraciflua \'Paarl\'','Amberbaum','','nein','nein','','','','','',NULL,1611,0,2,'',NULL
'0213F159','159','47','Kreuzberg','10997','Muskauer Straße','41','26686078','19470088',13.429365199999999447,52.502195200000002728,'2x2','Liquidambar styraciflua \'Paarl\'','Amberbaum','','nein','nein','','','','','',NULL,1612,0,2,'',NULL
'0213F160','160',' 54 - 0053','Kreuzberg','10997','Muskauer Straße','46','26781290','19410050',13.430769700000000810,52.501657999999999049,'2x2','Liquidambar styraciflua \'Paarl\'','Amberbaum','','nein','nein','','','','','',NULL,1613,0,2,'',NULL
'0213F163','163','24','Kreuzberg','10997','Pücklerstraße','32','26748370','19417954',13.430284600000000239,52.501728200000002289,'2x2','Liquidambar styraciflua \'Paarl\'','Amberbaum','','nein','nein','','','','','',NULL,1616,0,2,'',NULL
'0213F164','164','9','Kreuzberg','10997','Pücklerstraße',' Ecke Muskau','26736420','19423029',13.430108499999999339,52.501773499999998762,'2x2','Liquidambar styraciflua \'Paarl\'','Amberbaum','','nein','nein','','','','','',NULL,1617,0,2,'',NULL
'0213F165','165','2','Kreuzberg','10997','Pücklerstraße','17','26795803','19525219',13.430978800000000106,52.502693299999997123,'2x2','Liquidambar styraciflua \'Paarl\'','Amberbaum','','nein','nein','','','','','',NULL,1618,0,2,'',NULL
'0213F166','166','5','Kreuzberg','10997','Pücklerstraße','20','26775166','19490029',13.430676300000000012,52.502376599999998064,'2x2','Liquidambar styraciflua \'Paarl\'','Amberbaum','','nein','nein','','','','','',NULL,1619,0,2,'',NULL
'0213F167','167','28','Kreuzberg','10997','Pücklerstraße','34','26785368','19481502',13.430826899999999569,52.502300200000000530,'2x2','Liquidambar styraciflua \'Paarl\'','Amberbaum','','nein','nein','','','','','',NULL,1620,0,2,'',NULL
'0213F169','169','22','Kreuzberg','10961','Solmsstraße','20','24169947','18232502',13.392371799999999382,52.491005999999998721,'4x1','Pyrus calleryana \'Chantileer\'','Chinesische Wildbirne','','nein','nein','','','','','',NULL,1622,0,2,'',NULL
'0213F170','170','37','Kreuzberg','10961','Solmsstraße','33','24166395','18135919',13.392324099999999731,52.490138000000001739,'4x1','Pyrus calleryana \'Chantileer\'','Chinesische Wildbirne','','nein','nein','','','','','',NULL,1623,0,2,'',NULL
'0213F171','171','10','Kreuzberg','10963','Trebbiner Straße','6','23069861','19078722',13.376132899999999992,52.498577500000003226,'3x1','Platanus acerifolia','Ahornblättrige Platane','','nein','nein','','','','','',NULL,1624,0,2,'',NULL
'0213F173','173','21','Kreuzberg','10963','Trebbiner Straße',' 8-9','23149009','19116620',13.377296400000000531,52.498920499999996991,'3x1','Platanus acerifolia','Ahornblättrige Platane','','nein','nein','','','','','',NULL,1626,0,2,'',NULL
'0213F179','179','100','Kreuzberg','10961','Urbanstraße','38','25747957','18230694',13.415603799999999524,52.491033500000000345,'5x0,80','Tilia europaea \'Pallida\'','Kaiserlinde','','nein','nein','','','','','',NULL,1632,0,2,'',NULL
'0213F180','180','108','Kreuzberg','10961','Urbanstraße','47','25872311','18173544',13.417436999999999614,52.490523199999998383,'5x0,80','Tilia europaea \'Pallida\'','Kaiserlinde','','nein','nein','','','','','',NULL,1633,0,2,'',NULL
'0213F181','181','163','Kreuzberg','10961','Urbanstraße','125','25809076','18225402',13.416503799999999202,52.490987500000002797,'5x0,80','Tilia europaea \'Pallida\'','Kaiserlinde','','nein','nein','','','','','',NULL,1634,0,2,'',NULL
'0213F182','182','205','Kreuzberg','10961','Urbanstraße','169','25066920','18522529',13.405564200000000596,52.493637800000001903,'5x0,80','Tilia europaea \'Pallida\'','Kaiserlinde','','nein','nein','','','','','',NULL,1635,0,2,'',NULL
'0213F184','184','86','Kreuzberg','10999','Wiener Straße',' 56-58','27485249','18576727',13.441167599999999993,52.494185999999999126,'2x2','Tilia cordata \'Rancho\'','Amerikanische Stadtlinde','','nein','nein','','','','','',NULL,1637,0,2,'',NULL
'0213F185','185','5','Kreuzberg','10999','Wiener Straße','8','26562359','19094552',13.427558599999999345,52.498817400000000077,'2x2','Tilia cordata \'Rancho\'','Amerikanische Stadtlinde','','nein','nein','','','','','',NULL,1638,0,2,'GESPENDET','2013-02-09 00:00:00'
'0213F186','186','93','Kreuzberg','10999','Wiener Straße',' 56-58','27570974','18528573',13.442431600000000813,52.493755200000002503,'2x2','Tilia cordata \'Rancho\'','Amerikanische Stadtlinde','','nein','nein','','','','','',NULL,1639,0,2,'',NULL
'0213F187','187','188','Kreuzberg','10999','Wiener Straße',' gegenüber N','27251744','18727338',13.437723800000000551,52.495533999999999253,'2x2','Tilia cordata \'Rancho\'','Amerikanische Stadtlinde','','nein','nein','','','','','',NULL,1640,0,2,'',NULL
'0213F188','188','223','Kreuzberg','10999','Wiener Straße','gegenüber Nr','27102214','18819304',13.435518599999999978,52.496356900000002099,'2x2','Tilia cordata \'Rancho\'','Amerikanische Stadtlinde','','nein','nein','','','','','',NULL,1641,0,2,'',NULL
'0213F189','189','167','Kreuzberg','10999','Wiener Straße','gegenüber Nr','27300007','18699752',13.438435500000000644,52.495287199999999928,'2x2','Tilia cordata \'Rancho\'','Amerikanische Stadtlinde','','nein','nein','','','','','',NULL,1642,0,2,'',NULL
'0213F190','190','128','Kreuzberg','10965','Yorkstraße','gegenüber Nr','23334151','18421356',13.380057600000000662,52.492678200000000288,'2x2','Tilia cordata \'Rancho\'','Amerikanische Stadtlinde','','nein','nein','','','','','',NULL,1643,0,2,'',NULL
'0613H003','3','','Zehlendorf','14169','Am Fischtal','24 b','15122','13529',13.259518491000000000,52.448399581000000000,'','Betula pendula','Sand-Birke','','','x','','x','','Baumbügel erforderlich',NULL,NULL,5311,0,3,NULL,NULL
'0613H002','2','','Zehlendorf','14169','Am Fischtal','22','15133','13556',13.259678262000000000,52.448642718000000000,'','Betula pendula','Sand-Birke','','','x','','','','Baumbügel erforderlich',NULL,NULL,5310,0,3,NULL,NULL
'0213F193','193','117','Kreuzberg','10965','Yorkstraße','gegenüber Nr','23479407','18496762',13.382192399999999211,52.493360299999999086,'2x2','Tilia cordata \'Rancho\'','Amerikanische Stadtlinde','','nein','nein','','','','','',NULL,1646,0,2,'',NULL
'0213F194','194','123','Kreuzberg','10965','Yorkstraße','gegenüber Nr','23404795','18454165',13.381095999999999435,52.492975199999996505,'2x2','Tilia cordata \'Rancho\'','Amerikanische Stadtlinde','','nein','nein','','','','','',NULL,1647,0,2,'',NULL
'0213F195','195','126','Kreuzberg','10965','Yorkstraße','gegenüber Nr','23352143','18427177',13.380322200000000166,52.492731100000000311,'2x2','Tilia cordata \'Rancho\'','Amerikanische Stadtlinde','','nein','nein','','','','','',NULL,1648,0,2,'',NULL
'0213F196','196','127','Kreuzberg','10965','Yorkstraße','gegenüber Nr','23343411','18426913',13.380193600000000131,52.492728399999997180,'2x2','Tilia cordata \'Rancho\'','Amerikanische Stadtlinde','','nein','nein','','','','','',NULL,1649,0,2,'',NULL
'0213F197','197','149','Kreuzberg','10965','Yorkstraße','gegenüber Nr','23194186','18329810',13.378001499999999879,52.491851199999999267,'2x2','Tilia cordata \'Rancho\'','Amerikanische Stadtlinde','','nein','nein','','','','','',NULL,1650,0,2,'',NULL
'0613H001','1','','Zehlendorf','14169','Am Fischtal','8','15173','13658',13.260258978000000000,52.449561164000000000,'','Betula pendula','Sand-Birke','','','x','','','','Baumbügel erforderlich',NULL,NULL,5309,0,3,NULL,NULL
'0213F199','199','193','Kreuzberg','10965','Yorkstraße','gegenüber Nr','23728380','18477448',13.385858999999999952,52.493194199999997807,'2x2','Tilia cordata \'Rancho\'','Amerikanische Stadtlinde','','nein','nein','','','','','',NULL,1652,0,2,'',NULL
'0213F200','200','178','Kreuzberg','10965','Yorkstraße','Mitte, Ecke','23544230','18514225',13.383145900000000594,52.493519200000001490,'2x2','Tilia cordata \'Rancho\'','Amerikanische Stadtlinde','','nein','nein','','','','','',NULL,1653,0,2,'',NULL
'0713F001','1','500-50','Tempelhof','12105','Wolframstraße','79','23041310','14022640',13.375970799999999272,52.453139800000002424,'1,0x1,4','Prunus serrulata Kanzan','Nelkenkirsche','nein','','','x','1,5x2,7','1','Gehwegmaterial','',NULL,1654,0,2,'',NULL
'0713F002','2','510-51','Tempelhof','12105','Wolframstraße','81','23065690','14036530',13.376328700000000183,52.453265399999999374,'1,0x2,2','Prunus serrulata Kanzan','Nelkenkirsche','nein','','','x','1,5x2,7','1','Gehwegmaterial','',NULL,1655,0,2,'',NULL
'0713F003','3','200-20','Mariendorf','12107','Freibergstraße','28','23811440','12010630',13.387396999999999991,52.435082100000002470,'1,0x2,4','Carpinus betulus Fastigiata','Pyramidenhainbuche','nein','','','x','nein','nein','nein','',NULL,1656,0,2,'',NULL
'0713F004','4','150-15','Mariendorf','12107','Freibergstraße','ggü 25','23786490','12060230',13.387027700000000863,52.435527100000001610,'1,0x2,4','Carpinus betulus Fastigiata','Pyramidenhainbuche','nein','','','x','nein','nein','nein','',NULL,1657,0,2,'',NULL
'0713F005','5','300-30','Mariendorf','12107','Freibergstraße','23ab','23769070','12080500',13.386770600000000186,52.435708800000000451,'1,0x2,1','Carpinus betulus Fastigiata','Pyramidenhainbuche','nein','','','x','nein','nein','nein','',NULL,1658,0,2,'',NULL
'0713F006','6','130-13','Mariendorf','12107','Freibergstraße','14','23747730','12069890',13.386457399999999396,52.435612800000001243,'1,0x2,4','Carpinus betulus Fastigiata','Pyramidenhainbuche','nein','','','x','nein','nein','nein','',NULL,1659,0,2,'',NULL
'0713F007','7','340-34','Mariendorf','12107','Freibergstraße','13-23','23717180','12072840',13.386008000000000351,52.435638400000001980,'1,0x2,4','Carpinus betulus Fastigiata','Pyramidenhainbuche','nein','','','x','nein','nein','nein','',NULL,1660,0,2,'',NULL
'0713F008','8','50-5','Mariendorf','12107','Freibergstraße','6','23612450','12057710',13.384468800000000499,52.435499299999996481,'1,0x2,4','Carpinus betulus Fastigiata','Pyramidenhainbuche','nein','','','x','nein','nein','nein','',NULL,1661,0,2,'',NULL
'0713F009','9','70-7','Mariendorf','12107','Freibergstraße','8','23626340','12057300',13.384673100000000545,52.435496000000000549,'1,0x1,9','Carpinus betulus Fastigiata','Pyramidenhainbuche','nein','','','x','nein','nein','nein','',NULL,1662,0,2,'',NULL
'0713F010','10','240-24','Schöneberg','10823','Merseburger Straße','15','21456910','17799180',13.352454099999999215,52.487026200000002518,'1,2x2,7','Robinia pseudoacacia','Scheinakazie','nein','','','x','nein','nein','nein','',NULL,1663,0,2,'GESPENDET','2013-01-08 00:00:00'
'0713F011','11','200-20','Schöneberg','10823','Merseburger Straße','13','21452630','17842200',13.352388700000000554,52.487412599999998974,'1,9x2,6','Robinia pseudoacacia','Scheinakazie','nein','','','x','nein','1','nein','',NULL,1664,0,2,'',NULL
'0713F012','12','70-7','Schöneberg','10823','Merseburger Straße','5','21462540','17888840',13.352532000000000068,52.487832099999998547,'1,4x2,6','Robinia pseudoacacia','Scheinakazie','2','','','x','nein','nein','nein','Querparken',NULL,1665,0,2,'',NULL
'0713F013','13','850-85','Schöneberg','10829','Sachsendamm','nein','22162790','16359400',13.362922700000000376,52.474111200000002952,'2,0x2,0','UlmusxResista New Horizon','Resista Ulme','nein','','x','','nein','nein','nein','ggü Lotte- Laserstein',NULL,1666,0,2,'',NULL
'0713F014','14','800-80','Schöneberg','10829','Sachsendamm','nein','22096530','16393100',13.361945699999999704,52.474411799999998607,'1,2x3,2','UlmusxResista New Horizon','Resista Ulme','nein','','x','','nein','nein','nein','ggü Hedwig Dohm',NULL,1667,0,2,'',NULL
'0713F015','15','810-81','Schöneberg','10829','Sachsendamm','nein','22111020','16387370',13.362159300000000073,52.474360799999999472,'1,2x3,2','UlmusxResista New Horizon','Resista Ulme','nein','','x','','nein','nein','nein','ggü Hedwig Dohm',NULL,1668,0,2,'',NULL
'0713F016','16','182-106','Schöneberg','10829','Sachsendamm','ggü68-70','21880410','16561660',13.358755999999999631,52.475919500000003382,'2,0x2,0','UlmusxResista New Horizon','Resista Ulme','nein','','x','','nein','nein','nein','Mittelstreifen',NULL,1669,0,2,'',NULL
'0713F017','17','1010-101','Schöneberg','10829','Sachsendamm','Ikea','22644610','15987040',13.370032899999999998,52.470780499999996493,'2,0x2,0','UlmusxResista New Horizon','Resista Ulme','nein','','x','','nein','nein','nein','Mittelstreifen',NULL,1670,0,2,'',NULL
'0713F018','18','1020-102','Schöneberg','10829','Sachsendamm','Ikea','22655330','15980380',13.370191000000000159,52.470720999999997503,'2,0x2,0','UlmusxResista New Horizon','Resista Ulme','nein','','x','','nein','nein','nein','Mittelstreifen',NULL,1671,0,2,'',NULL
'0713F019','19','1030-103','Schöneberg','10829','Sachsendamm','Ikea','22665280','15974060',13.370337700000000325,52.470664499999998043,'2,0x2,0','UlmusxResista New Horizon','Resista Ulme','nein','','x','','nein','nein','nein','Mittelstreifen',NULL,1672,0,2,'',NULL
'0713F020','20','1040-104','Schöneberg','10829','Sachsendamm','Ikea','22676100','15967040',13.370497300000000251,52.470601799999997183,'2,0x2,0','UlmusxResista New Horizon','Resista Ulme','nein','','x','','nein','nein','nein','Mittelstreifen',NULL,1673,0,2,'',NULL
'0713F021','21','330-33','Schöneberg','10825','Innsbrucker Straße','ggü12','20687910','17606710',13.341144999999999143,52.485269799999997531,'1,8x1,8','Acer platanoides','Spitzahorn','nein','','x','','nein','nein','nein','',NULL,1674,0,2,'',NULL
'0713F022','22','1390-139','Schöneberg','10825','Innsbrucker Straße','ggü 48a','20699910','17584170',13.341322899999999763,52.485067700000001878,'1,8x1,8','Acer platanoides','Spitzahorn','nein','','x','','nein','nein','nein','Strauchwerk roden',NULL,1675,0,2,'',NULL
'0713F024','24','250-25','Schöneberg','10825','Innsbrucker Straße','ggü8','20668250','17699610',13.340850200000000214,52.486103900000003364,'1,0x2,0','Acer platanoides','Spitzahorn','nein','','x','','nein','1','nein','Strauchwerk roden Tiergartengitter entfernen',NULL,1677,0,2,'',NULL
'0713F025','25','260-26','Schöneberg','10825','Innsbrucker Straße','ggü8','20670050','17691140',13.340877100000000155,52.486027900000003399,'1,0x2,0','Acer platanoides','Spitzahorn','nein','','x','','nein','1','nein','Strauchwerk roden Tiergartengitter entfernen',NULL,1678,0,2,'',NULL
'0713F026','26','900-90','Tempelhof','12101','Boelckestraße','39','23131510','16982200',13.377147300000000740,52.479738900000000967,'1,0x3,2','Acer platanoides','Spitzahorn','nein','','','x','nein','nein','nein','hinter Ecke',NULL,1679,0,2,'',NULL
'0713F027','27','940-94','Tempelhof','12101','Boelckestraße','25','23154450','17058090',13.377481100000000680,52.480421599999999671,'1,3x2,4','Acer platanoides','Spitzahorn','nein','','x','','nein','nein','nein','',NULL,1680,0,2,'',NULL
'0713F028','28','370-37','Tempelhof','12101','Boelckestraße','110-112','23167770','16349770',13.377712999999999965,52.474056699999998443,'1,0x4,0','Acer platanoides Columnare','Spitzahorn','nein','','','x','nein','nein','nein','',NULL,1681,0,2,'',NULL
'0713F029','29','1380-138','Schöneberg','12157','Vorarlberger Damm','ohne','21373140','15925780',13.351326000000000249,52.470188000000000272,'2,5x1,3','Acer platanoides','Spitzahorn','nein','','','x','nein','nein','nein','LM30',NULL,1682,0,2,'GESPENDET','2013-02-22 00:00:00'
'0713F030','30','530-53','Schöneberg','12157','Vorarlberger Damm','37','21694450','16187260',13.356039799999999573,52.472548699999997268,'1,0x1,9','Acer platanoides','Spitzahorn','nein','','','x','2,0x2,5','1','Gehwegmaterial','',NULL,1683,0,2,'',NULL
'0713F031','31','260-26','Friedenau','12159','Varziner Straße','18','19439450','16733910',13.322821299999999312,52.477380599999996491,'1,4x3,9','Acer platanoides Cleveland','Spitzahorn','nein','','','x','nein','nein','nein','',NULL,1684,0,2,'',NULL
'0713F032','32','250-25','Friedenau','12159','Varziner Straße','17','19459320','16733510',13.323113799999999785,52.477377799999999297,'1,3x3,1','Acer platanoides Cleveland','Spitzahorn','nein','','','x','nein','nein','nein','',NULL,1685,0,2,'',NULL
'0713F033','33','240-24','Friedenau','12159','Varziner Straße','17','19469650','16733120',13.323265799999999714,52.477374699999998597,'1,3x3,1','Acer platanoides Cleveland','Spitzahorn','nein','','','x','nein','nein','nein','',NULL,1686,0,2,'',NULL
'0713F034','34','230-23','Friedenau','12159','Varziner Straße','15','19494890','16733020',13.323637299999999684,52.477374699999998597,'1,3x3,1','Acer platanoides Cleveland','Spitzahorn','nein','','','x','nein','nein','nein','',NULL,1687,0,2,'',NULL
'0713F035','35','70-7','Friedenau','12159','Varziner Straße','8/2','19693470','16730240',13.326560100000000020,52.477357200000000148,'1,4x2,5','Acer platanoides Cleveland','Spitzahorn','nein','','','x','nein','1','nein','2 Schutzbügel neu',NULL,1688,0,2,'',NULL
'0713F036','36','40-4','Tempelhof','12105','Attilastraße','7','22917060','14189180',13.374134500000000259,52.454632599999996501,'1,6x2,4','Aesculus carnea Briotii','Scharlach Rosskastanie','nein','','x','','nein','3','nein','2 Schutzbügel neu',NULL,1689,0,2,'',NULL
'0713F037','37','320-32','Tempelhof','12105','Attilastraße','27','22667400','13882250',13.370478000000000307,52.451866400000000112,'1,8x1,8','Aesculus carnea Briotii','Scharlach Rosskastanie','nein','','','x','nein','nein','nein','2 Schutzbügel neu',NULL,1690,0,2,'',NULL
'0713F038','38','330-33','Tempelhof','12105','Attilastraße','27','22657810','13871220',13.370337499999999764,52.451766999999996699,'1,8x1,8','Aesculus carnea Briotii','Scharlach Rosskastanie','nein','','','x','nein','nein','nein','2 Schutzbügel neu',NULL,1691,0,2,'',NULL
'0713F039','39','1140-114','Tempelhof','12105','Attilastraße','132','22495120','13693670',13.367953800000000442,52.450166199999998184,'1,3x2,4','Aesculus carnea Briotii','Scharlach Rosskastanie','nein','','','x','nein','nein','nein','2 Schutzbügel neu',NULL,1692,0,2,'',NULL
'0713F040','40','470-47','Tempelhof','12105','Attilastraße','39','22512160','13723240',13.368202900000000000,52.450432499999998015,'1,8x1,8','Aesculus carnea Briotii','Scharlach Rosskastanie','nein','','','x','nein','1','nein','2 Schutzbügel neu',NULL,1693,0,2,'',NULL
'0713F041','41','1280-128','Tempelhof','12105','Attilastraße','142','22633660','13822880',13.369984799999999225,52.451331799999998395,'1,8x2,4','Aesculus carnea Briotii','Scharlach Rosskastanie','nein','','','x','nein','1','nein','2 Schutzbügel neu',NULL,1694,0,2,'',NULL
'0713F042','42','460-46','Lichtenrade','12305','Feldstedter Weg','15','24607600','9346870',13.399226600000000431,52.411166999999998950,'1,4x2,5','Malus tschonoskii','Zierapfel','nein','','x','','nein','1','nein','',NULL,1695,0,2,'',NULL
'0713F043','43','430-43','Lichtenrade','12305','Feldstedter Weg','17','24566630','9333430',13.398625100000000288,52.411045000000001437,'1,4x2,5','Malus tschonoskii','Zierapfel','nein','','x','','nein','1','nein','',NULL,1696,0,2,'',NULL
'0713F044','44','410-41','Lichtenrade','12305','Feldstedter Weg','23','24528220','9320710',13.398061300000000173,52.410929600000002893,'1,4x2,5','Malus tschonoskii','Zierapfel','nein','','x','','nein','2','nein','',NULL,1697,0,2,'',NULL
'0713F045','45','390-39','Lichtenrade','12305','Feldstedter Weg','23','24511400','9314930',13.397814399999999679,52.410877200000001608,'1,4x2,5','Malus tschonoskii','Zierapfel','nein','','x','','nein','2','nein','',NULL,1698,0,2,'',NULL
'0713F046','46','371-x','Lichtenrade','12305','Feldstedter Weg','25','24488640','9307750',13.397480200000000394,52.410811999999999955,'1,4x2,5','Malus tschonoskii','Zierapfel','nein','','x','','nein','2','nein','',NULL,1699,0,2,'',NULL
'0713F047','47','360-36','Lichtenrade','12305','Feldstedter Weg','27','24471800','9301670',13.397232999999999947,52.410756900000002645,'1,4x2,5','Malus tschonoskii','Zierapfel','nein','','x','','nein','2','nein','',NULL,1700,0,2,'',NULL
'0713F048','48','301-x','Lichtenrade','12305','Feldstedter Weg','ggü29','24442180','9302140',13.396797700000000475,52.410760299999999745,'0,8x4,0','Malus tschonoskii','Zierapfel','nein','','x','','1,2x3,0','2','Mosaik','',NULL,1701,0,2,'',NULL
'0713F049','49','280-28','Lichtenrade','12305','Feldstedter Weg','ggü23','24470400','9311650',13.397211999999999676,52.410846599999999285,'0,8x4,0','Malus tschonoskii','Zierapfel','nein','','x','','1,2x3,0','2','Mosaik','',NULL,1702,0,2,'',NULL
'0713F050','50','51-x','Lichtenrade','12305','Feldstedter Weg','4-6','24777360','9412980',13.401718300000000639,52.411765899999998908,'1,1x3,5','Malus tschonoskii','Zierapfel','nein','','x','','nein','2','nein','',NULL,1703,0,2,'',NULL
'0713F051','51','120-12','Tempelhof','12101','Loewenhardtdamm','ggü23','22870890','17324780',13.373293699999999617,52.482809400000000721,'1,0x3,0','Acer platanoides','Spitzahorn','nein','','x','','nein','1','nein','',NULL,1704,0,2,'',NULL
'0713F052','52','130-13','Tempelhof','12101','Loewenhardtdamm','ggü23','22876040','17314020',13.373369999999999536,52.482712800000001607,'1,0x3,0','Acer platanoides','Spitzahorn','nein','','x','','nein','1','nein','',NULL,1705,0,2,'',NULL
'0713F053','53','1180-118','Tempelhof','12101','Loewenhardtdamm','ggü56','23150260','16929890',13.377425900000000425,52.479269399999999735,'2,0x2,0','Prunus serrulata Kanzan','Nelkenkirsche','nein','','x','','nein','2','nein','',NULL,1706,0,2,'',NULL
'0713F054','54','1220-122','Tempelhof','12101','Loewenhardtdamm','ggü61','23170060','16910880',13.377718299999999729,52.479099200000000280,'2,0x2,0','Prunus serrulata Kanzan','Nelkenkirsche','nein','','x','','nein','2','nein','',NULL,1707,0,2,'',NULL
'0713F055','55','1190-119','Tempelhof','12101','Loewenhardtdamm','ggü58','23155870','16926460',13.377508600000000527,52.479238799999997411,'2,0x2,0','Prunus serrulata Kanzan','Nelkenkirsche','nein','','x','','nein','2','nein','',NULL,1708,0,2,'',NULL
'0713F056','56','1230-123','Tempelhof','12101','Loewenhardtdamm','ggü60','23178010','16906350',13.377835499999999769,52.479058700000003057,'2,0x2,0','Prunus serrulata Kanzan','Nelkenkirsche','nein','','x','','nein','nein','nein','',NULL,1709,0,2,'',NULL
'0713F057','57','1260-126','Tempelhof','12101','Loewenhardtdamm','ggü60','23192350','16886050',13.378047600000000372,52.478876700000000710,'2,0x2,0','Prunus serrulata Kanzan','Nelkenkirsche','nein','','x','','nein','2','nein','',NULL,1710,0,2,'',NULL
'0713F058','58','40-4','Schöneberg','10825','Heylstraße','1-2','20987510','17124740',13.345582800000000745,52.480949099999996577,'1,8x3,4','Robinia pseudoacacia','Scheinakazie','nein','','','x','nein','nein','nein','2Poller,o.k',NULL,1711,0,2,'',NULL
