'schluessel','lfdnr','baumnr','ortsteil','plz','strasse','hausnr','xkoord','ykoord','l_geogr','b_geogr','bsgroesse','baumartbot','baumartdt','buegel','buegelerf','bsmulch','bssplitt','bserw','bsfraesen','material','bemerk','status','id','version','pflanzp','spendenstatus','reserviert_bis'
'0312H024','24',' 7/1 - 0028','Prenzlauer Berg','10439','Bergener Straße','7','25381.42','25057.56',13.405123167999999367,52.555271151500001281,'','Acer platanoides „Cleveland“','Spitzahorn','','','','x','','','','','GEPFLANZT',623,0,1,'',NULL
'0312H025','25',' 10/1 - 0026','Prenzlauer Berg','10439','Bergener Straße','10','25383.15','25069.91',13.405300002600000653,52.555289455100002272,'3','Acer platanoides „Cleveland“','Spitzahorn','','2','','x','','2','','','GEPFLANZT',624,0,1,'',NULL
'0312H026','26',' 2/1 - 0003','Prenzlauer Berg','10439','Czarnikauer Straße','2','25163.97','25239.29',13.407801486200000340,52.553326052700001014,'3','Acer platanoides „Cleveland“','Spitzahorn','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',625,0,1,'',NULL
'0312H027','27',' 12/1 - 0033','Prenzlauer Berg','10439','Czarnikauer Straße','12','25189.42','24918.15',13.403067809799999566,52.553541874899998732,'3','Acer platanoides „Cleveland“','Spitzahorn','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',626,0,1,'',NULL
'0312H028','28',' 17/2 - 0022','Prenzlauer Berg','10439','Czarnikauer Straße','17','25172.21','25063.71',13.405221081800000604,52.553393149000001472,'4','Acer platanoides „Cleveland“','Spitzahorn','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',627,0,1,'',NULL
'0312H029','29',' 19/3 - 0026','Prenzlauer Berg','10439','Czarnikauer Straße','19','25160.92','25164.62',13.406710631399999301,52.553297072500001264,'6','Acer platanoides „Cleveland“','Spitzahorn','','2','','x','','3','','Stubben sichtbar','GEPFLANZT',628,0,1,'',NULL
'0312H030','30',' 1/4 - 0001','Prenzlauer Berg','10439','Driesener Straße','1','24816.94','25085.98',13.405561458299999344,52.550203564000000256,'2','Magnolia kobus','Kobushi-Magnolie','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',629,0,1,'',NULL
'0312H031','31',' 2/1 - 0050','Prenzlauer Berg','10439','Driesener Straße','2','24828.97','25087.64',13.405590400699999520,52.550311456499997576,'1,5','Magnolia kobus','Kobushi-Magnolie','','2','','x','','2','','','GEPFLANZT',630,0,1,'',NULL
'0312H032','32',' 4/1 - 0049','Prenzlauer Berg','10439','Driesener Straße','4','24859.28','25091.61',13.405648015300000608,52.550581160199996589,'1,5','Magnolia kobus','Kobushi-Magnolie','','2','','x','','2','','','GEPFLANZT',631,0,1,'',NULL
'0312H033','33',' 6/1 - 0040','Prenzlauer Berg','10439','Driesener Straße','6','24899.92','25097.03',13.405719876499999188,52.550949742400000275,'2','Magnolia kobus','Kobushi-Magnolie','','2','','x','','2','','','GEPFLANZT',632,0,1,'',NULL
